Target: http://10.10.10.71:80/FUZZFUZ2Z
Total requests: 27684
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00292:  C=403     29 L	      92 W	   1233 Ch	  "_dev - .bak"
00293:  C=403     29 L	      92 W	   1233 Ch	  "_dev - .old"
00179:  C=403     29 L	      92 W	   1233 Ch	  "_adm - .old"
00294:  C=403     29 L	      92 W	   1233 Ch	  "_dev - .conf"
00295:  C=403     29 L	      92 W	   1233 Ch	  "_dummy - .php"
00296:  C=403     29 L	      92 W	   1233 Ch	  "_dummy - .html"
00297:  C=403     29 L	      92 W	   1233 Ch	  "_dummy - .txt"
00298:  C=403     29 L	      92 W	   1233 Ch	  "_dummy - .bak"
00299:  C=403     29 L	      92 W	   1233 Ch	  "_dummy - .old"
00300:  C=403     29 L	      92 W	   1233 Ch	  "_dummy - .conf"
00301:  C=403     29 L	      92 W	   1233 Ch	  "_files - .php"
00302:  C=403     29 L	      92 W	   1233 Ch	  "_files - .html"
00303:  C=403     29 L	      92 W	   1233 Ch	  "_files - .txt"
00304:  C=403     29 L	      92 W	   1233 Ch	  "_files - .bak"
00305:  C=403     29 L	      92 W	   1233 Ch	  "_files - .old"
00312:  C=403     29 L	      92 W	   1233 Ch	  "_flash - .conf"
00313:  C=403     29 L	      92 W	   1233 Ch	  "_fpclass - .php"
00314:  C=403     29 L	      92 W	   1233 Ch	  "_fpclass - .html"
00315:  C=403     29 L	      92 W	   1233 Ch	  "_fpclass - .txt"
00316:  C=403     29 L	      92 W	   1233 Ch	  "_fpclass - .bak"
00317:  C=403     29 L	      92 W	   1233 Ch	  "_fpclass - .old"
00318:  C=403     29 L	      92 W	   1233 Ch	  "_fpclass - .conf"
00319:  C=403     29 L	      92 W	   1233 Ch	  "_images - .php"
00320:  C=403     29 L	      92 W	   1233 Ch	  "_images - .html"
00332:  C=403     29 L	      92 W	   1233 Ch	  "_inc - .html"
00333:  C=403     29 L	      92 W	   1233 Ch	  "_inc - .txt"
00334:  C=403     29 L	      92 W	   1233 Ch	  "_inc - .bak"
00335:  C=403     29 L	      92 W	   1233 Ch	  "_inc - .old"
00336:  C=403     29 L	      92 W	   1233 Ch	  "_inc - .conf"
00337:  C=403     29 L	      92 W	   1233 Ch	  "_include - .php"
00338:  C=403     29 L	      92 W	   1233 Ch	  "_include - .html"
00339:  C=403     29 L	      92 W	   1233 Ch	  "_include - .txt"
00340:  C=403     29 L	      92 W	   1233 Ch	  "_include - .bak"
00341:  C=403     29 L	      92 W	   1233 Ch	  "_include - .old"
00342:  C=403     29 L	      92 W	   1233 Ch	  "_include - .conf"
00343:  C=403     29 L	      92 W	   1233 Ch	  "_includes - .php"
00344:  C=403     29 L	      92 W	   1233 Ch	  "_includes - .html"
00345:  C=403     29 L	      92 W	   1233 Ch	  "_includes - .txt"
00346:  C=403     29 L	      92 W	   1233 Ch	  "_includes - .bak"
00347:  C=403     29 L	      92 W	   1233 Ch	  "_includes - .old"
00348:  C=403     29 L	      92 W	   1233 Ch	  "_includes - .conf"
00349:  C=403     29 L	      92 W	   1233 Ch	  "_install - .php"
00350:  C=403     29 L	      92 W	   1233 Ch	  "_install - .html"
00351:  C=403     29 L	      92 W	   1233 Ch	  "_install - .txt"
00352:  C=403     29 L	      92 W	   1233 Ch	  "_install - .bak"
00353:  C=403     29 L	      92 W	   1233 Ch	  "_install - .old"
00354:  C=403     29 L	      92 W	   1233 Ch	  "_install - .conf"
00355:  C=403     29 L	      92 W	   1233 Ch	  "_js - .php"
00356:  C=403     29 L	      92 W	   1233 Ch	  "_js - .html"
00357:  C=403     29 L	      92 W	   1233 Ch	  "_js - .txt"
00358:  C=403     29 L	      92 W	   1233 Ch	  "_js - .bak"
00359:  C=403     29 L	      92 W	   1233 Ch	  "_js - .old"
00360:  C=403     29 L	      92 W	   1233 Ch	  "_js - .conf"
00361:  C=403     29 L	      92 W	   1233 Ch	  "_layouts - .php"
00362:  C=403     29 L	      92 W	   1233 Ch	  "_layouts - .html"
00306:  C=403     29 L	      92 W	   1233 Ch	  "_files - .conf"
00307:  C=403     29 L	      92 W	   1233 Ch	  "_flash - .php"
00308:  C=403     29 L	      92 W	   1233 Ch	  "_flash - .html"
00309:  C=403     29 L	      92 W	   1233 Ch	  "_flash - .txt"
00310:  C=403     29 L	      92 W	   1233 Ch	  "_flash - .bak"
00311:  C=403     29 L	      92 W	   1233 Ch	  "_flash - .old"
00321:  C=403     29 L	      92 W	   1233 Ch	  "_images - .txt"
00322:  C=403     29 L	      92 W	   1233 Ch	  "_images - .bak"
00323:  C=403     29 L	      92 W	   1233 Ch	  "_images - .old"
00324:  C=403     29 L	      92 W	   1233 Ch	  "_images - .conf"
00325:  C=403     29 L	      92 W	   1233 Ch	  "_img - .php"
00326:  C=403     29 L	      92 W	   1233 Ch	  "_img - .html"
00327:  C=403     29 L	      92 W	   1233 Ch	  "_img - .txt"
00328:  C=403     29 L	      92 W	   1233 Ch	  "_img - .bak"
00329:  C=403     29 L	      92 W	   1233 Ch	  "_img - .old"
00330:  C=403     29 L	      92 W	   1233 Ch	  "_img - .conf"
00331:  C=403     29 L	      92 W	   1233 Ch	  "_inc - .php"

Total time: 0
Processed Requests: 362
Filtered Requests: 0
Requests/sec.: 0
